Wavelength (nm);emAF;emCE;emHA;emHP;emAT;emFA
683,43142;5199377,5;37433504;7554236,5;43071792;0,494722299;11035857
684,43294;5702687;41874024;8603477;49588576;0,552975445;12286298
685,43446;6014914;44069132;9227645;53282184;0,577293353;13700762
686,43598;6138380;42919508;9733276;51750296;0,600618968;14064151
687,4375;5775103;40888164;9228940;48416176;0,572482586;13999015
688,43902;5347742;38107364;8664324;44975960;0,576538367;13791275
689,44054;5083867;36027688;8318288,5;42075832;0,585261731;13943333
690,44206;4947069,5;35057180;7762137;41151576;0,600164493;14882174
691,44358;5020653,5;35695532;7363501;40355204;0,645640597;16400919
692,4451;5008379,5;36369200;7540550;40946972;0,676093261;18433540
693,44662;4869504,5;38470060;7385310,5;41304660;0,717042546;20450996
694,44814;4836926;38859892;7414798,5;42212700;0,736066713;22117586
695,44966;4755361;38889744;7515015;41808880;0,750797791;23218582
696,45118;4586839;36615684;7116217;40222604;0,752406253;23832446
697,4527;4134627,75;35093592;6455527,5;37918464;0,787987023;22796304
698,45422;3887064,25;32792932;6515316;35593976;0,779842124;21666594
699,45574;3509474,5;30758816;6239052;33043492;0,768614284;19875340
700,45726;3306936;28515800;5990878,5;30497000;0,767315588;18264656
701,45878;2913956;26235198;5447864;28281898;0,7426225;16423123
702,4603;2824331;24324120;5289409,5;27036356;0,738116819;15510638
703,46182;2634964,5;22814854;4851258;24183482;0,729899198;13914853
704,46334;2539490,75;20872090;4611469,5;23055178;0,712108997;13098113
705,46486;2309377;19387720;4467123;21028572;0,691725402;12331176
706,46638;2217715,5;19200412;4323071;20088030;0,677778599;11089671
707,4679;2259613;17461004;4138960,75;18794636;0,653228168;10522020
708,46942;2192946,25;16986468;3884369;17817068;0,652615051;9957315
709,47094;2052051,5;16309199;3994042,25;17035458;0,631032878;9583907
710,47246;2097437,25;15469098;3808193;16820996;0,647730141;9318240
711,47398;2141621,25;15900792;3805710,5;16604158;0,6510801;9277137
712,4755;2186230,75;15572172;3667677,5;16268019;0,652246338;8877069
713,47702;2223796;15006806;3995188,25;15936104;0,66688587;8807189
714,47854;2368286;14957221;3980565,25;16174570;0,691891249;8713003
715,48006;2335734,25;15141363;4182397,75;16571981;0,706651406;8596385
716,48158;2520426,25;15118055;4255395,5;16318362;0,737490345;8415775
717,4831;2716106,25;15305818;4465638,5;17653122;0,799024723;8584061
718,48462;2852353,5;15660153;4726762;18877092;0,777765463;8654372
