wavelength_fluor;em_rt_hp;wavelength_abs;abs_hp
740,51806;515939,2813;744,7999878;-0,010901864
741,51958;586002,75;744,4000244;-0,012200806
742,5211;516177,375;744;-0,011748437
743,52262;526781,75;743,5999756;-0,011486531
744,52414;552738,625;743,2000122;-0,010769918
745,52566;481116,8125;742,7999878;-0,012109736
746,52718;523797,125;742,4000244;-0,011237079
747,5287;530047,6875;742;-0,010641366
748,53022;541902,75;741,5999756;-0,010921756
749,53174;511877,8125;741,2000122;-0,009463237
750,53326;460357,3438;740,7999878;-0,010165471
751,53478;490674;740,4000244;-0,0097454
752,5363;440014,9063;740;-0,010488773
753,53782;468610,0625;739,5999756;-0,009425852
754,53934;422826,1875;739,2000122;-0,010020197
755,54086;357746,625;738,7999878;-0,010054901
756,54238;366161,0938;738,4000244;-0,0098025
757,5439;325812,25;738;-0,010095673
758,54542;360988,9375;737,5999756;-0,009894106
759,54694;266878,875;737,2000122;-0,009072351
760,54846;394798,8125;736,7999878;-0,009300804
761,54998;293465,2813;736,4000244;-0,009231525
762,5515;350846,875;736;-0,009197972
763,55302;327762,4688;735,5999756;-0,009489425
764,55454;248313,0156;735,2000122;-0,008988786
765,55606;246823,1719;734,7999878;-0,008814761
766,55758;322587,875;734,4000244;-0,008211599
767,5591;248013,1563;734;-0,007591369
768,56062;217842,4688;733,5999756;-0,007610141
769,56214;207229,8594;733,2000122;-0,007098723
770,56366;207835,8438;732,7999878;-0,007950092
771,56518;183720,8438;732,4000244;-0,006927097
772,5667;160588,75;732;-0,00650888
773,56822;157645,9375;731,5999756;-0,006109965
774,56974;166844,4219;731,2000122;-0,00517973
775,57126;230667,3125;730,7999878;-0,006041605
776,57278;175740,9219;730,4000244;-0,005069675
777,5743;93989,40625;730;-0,005130053
778,57582;150085,3906;729,5999756;-0,004802377
779,57734;113467,125;729,2000122;-0,004954678
780,57886;145169,4219;728,7999878;-0,004723979
781,58038;144697,4531;728,4000244;-0,00435807
782,5819;139903,3281;728;-0,003521449
783,58342;124257,2578;727,5999756;-0,002338238
784,58494;163316,5469;727,2000122;-0,002962976
785,58646;106582,0703;726,7999878;-0,001819178
786,58798;101648,3203;726,4000244;-0,002676988
787,5895;111489,2813;726;-0,001455611
788,59102;94380,21875;725,5999756;-0,001486466
789,59254;89468,17188;725,2000122;-0,000567309
790,59406;151909,0781;724,7999878;-0,001052696
791,59558;154188,7188;724,4000244;-0,0002965
792,5971;41692,71094;724;0,000234668
793,59862;109656,6172;723,5999756;0,001418691
794,60014;149768,0938;723,2000122;0,001829742
