Wavelength;em_HP_rt;em_HP_lt
811,62598;;4494197,5
812,6275;;4804218
813,62902;;4518657,5
814,63054;;4597703
815,63206;;4903837
816,63358;;4377514,5
817,6351;;4392898,5
818,63662;;4282187,5
819,63814;;4663273
820,63966;;4415524
821,64118;;4703864
822,6427;;5012023,5
823,64422;;5168572
824,64574;;4977731
825,64726;;4708150
826,64878;;4155620,75
827,6503;;4152422,75
828,65182;;4656786
829,65334;;3917923,75
830,65486;;3342098,75
831,65638;;3648538,75
832,6579;;3524548
833,65942;;3627856,5
834,66094;;3484353
835,66246;;3855259,5
836,66398;;2935123,25
837,6655;;3116633,75
838,66702;;2845336,25
839,66854;;2673911,75
840,67006;;2348829,25
841,67158;;2307701
842,6731;;2295723,25
843,67462;;2420425,5
844,67614;;2039303,25
845,67766;;1602187,25
846,67918;;1592215,875
847,6807;;1358579,75
848,68222;;1076944,875
849,68374;;2248025
850,68526;;1650716
851,68678;;1030176,625
852,6883;;1755963,5
