Wavelength (nm) aceton;Abs_aceton;Wavelength (nm);Abs
404,7999878;0,274676651;695,2000122;0,045042288
405,1999817;0,277114451;694,7999878;0,048237715
405,6000061;0,279320061;694,4000244;0,051282946
406;0,281569094;694;0,054609418
406,3999939;0,283750385;693,5999756;0,058373511
406,7999878;0,285705566;693,2000122;0,062085722
407,1999817;0,287773043;692,7999878;0,066331558
407,6000061;0,289490312;692,4000244;0,070619255
408;0,291686118;692;0,075186878
408,3999939;0,293605894;691,5999756;0,080392979
408,7999878;0,295310736;691,2000122;0,085638501
409,1999817;0,297011614;690,7999878;0,091224708
409,6000061;0,29871437;690,4000244;0,097405747
410;0,300394505;690;0,104050398
410,3999939;0,30181089;689,5999756;0,110966809
410,7999878;0,303027034;689,2000122;0,118140996
411,1999817;0,304684371;688,7999878;0,125956416
411,6000061;0,305795223;688,4000244;0,134339437
412;0,306825966;688;0,142934158
412,3999939;0,307876885;687,5999756;0,152168527
412,7999878;0,308758587;687,2000122;0,162041247
413,1999817;0,309616387;686,7999878;0,172282338
413,6000061;0,310214102;686,4000244;0,182740599
414;0,311013818;686;0,193303272
414,3999939;0,31167385;685,5999756;0,204635143
414,7999878;0,312229931;685,2000122;0,216163278
415,1999817;0,312827587;684,7999878;0,227884725
415,6000061;0,313344955;684,4000244;0,239614844
416;0,313786566;684;0,251293719
416,3999939;0,314544529;683,5999756;0,262800634
416,7999878;0,314979345;683,2000122;0,274052173
417,1999817;0,315624237;682,7999878;0,285086185
417,6000061;0,316420049;682,4000244;0,295570105
418;0,3170968;682;0,305320948
418,3999939;0,317955107;681,5999756;0,314821929
418,7999878;0,318903178;681,2000122;0,323580951
419,1999817;0,319828838;680,7999878;0,331256777
419,6000061;0,320974618;680,4000244;0,338235855
420;0,322509021;680;0,344474137
420,3999939;0,323784739;679,5999756;0,349764407
420,7999878;0,325371563;679,2000122;0,353996277
421,1999817;0,327089638;678,7999878;0,357581347
421,6000061;0,329335421;678,4000244;0,360548765
422;0,331593305;678;0,362522185
422,3999939;0,333876401;677,5999756;0,363819629
422,7999878;0,336201161;677,2000122;0,364663601
423,1999817;0,338636994;676,7999878;0,364870429
423,6000061;0,341412097;676,4000244;0,364487797
424;0,344285548;676;0,363704234
424,3999939;0,347274512;675,5999756;0,362927616
424,7999878;0,350438446;675,2000122;0,361518949
425,1999817;0,353412002;674,7999878;0,35988614
425,6000061;0,356699258;674,4000244;0,358064622
426;0,360109061;674;0,355550319
426,3999939;0,363289893;673,5999756;0,353220254
426,7999878;0,366374135;673,2000122;0,350594699
427,1999817;0,369853646;672,7999878;0,34773171
427,6000061;0,373016506;672,4000244;0,344592184
428;0,376212359;672;0,341261983
428,3999939;0,37942034;671,5999756;0,337598056
