Wavelength (nm);Abs_Eva;Abs_Jasmijn;Abs_Mads;Abs_Koen;Abs_Nicco;Abs_model
772,7999878;-0,001941605;-0,014054257;-0,002347867;-0,02129562;0,000412793;0,00250841
772,4000244;-0,000682077;-0,01242128;-0,000461147;-0,019520352;-2,41E-05;0,001529652
772;-0,001106096;-0,012787146;-0,001524387;-0,020290675;1,95E-05;0,000906411
771,5999756;-0,001793503;-0,012651648;-0,002092955;-0,019640908;4,82E-05;0,00196499
771,2000122;-0,001170331;-0,013722765;-0,001777158;-0,02100577;-0,000861303;0,000493952
770,7999878;-0,000162533;-0,013539487;-0,001277043;-0,019514164;-0,000498226;0,0003181
770,4000244;-0,001840161;-0,013650477;-0,001437087;-0,020305496;0,000261579;0,000623678
770;-0,00105032;-0,012978934;-0,001491522;-0,020918945;0,000103582;0,000546641
769,5999756;-0,00133795;-0,012672517;-0,001487085;-0,01964739;0,000221459;0,000842525
769,2000122;-0,001558177;-0,013507017;-0,002320421;-0,02007594;0,000420203;0,001554072
768,7999878;-0,001579637;-0,01358505;-0,002640968;-0,020432208;0,000128646;0,000945478
768,4000244;-0,002621157;-0,014621434;-0,002099653;-0,021118864;-0,000152028;0,001045887
768;-0,001965726;-0,014459916;-0,002276338;-0,020707386;-3,87E-05;0,001147954
767,5999756;-0,000994693;-0,013402064;-0,001642719;-0,019922422;0,000496803;0,001128384
767,2000122;-0,00095466;-0,013007424;-0,001136614;-0,020778954;-0,001000478;0,000848801
766,7999878;-0,000751079;-0,013205593;-0,001937946;-0,020653035;-6,55E-05;3,68E-05
766,4000244;-0,002365889;-0,014344926;-0,003111246;-0,0210036;-0,000790407;0,001328141
766;-0,00024238;-0,012888781;-0,001176527;-0,019752033;9,24E-05;0,001147045
765,5999756;-0,00033318;-0,013737713;-0,002048385;-0,020318689;0,000392505;0,001212871
765,2000122;-0,000587835;-0,012329299;-0,00076157;-0,019166209;0,001808062;0,002640302
764,7999878;-0,001520053;-0,013179074;-0,001834954;-0,020694995;0,000463192;0,000925321
764,4000244;-0,000849368;-0,013336198;-0,002747782;-0,021230251;-0,00025454;0,001353977
764;-0,000875977;-0,012182986;-0,001608265;-0,020960091;-0,000310934;0,001024895
763,5999756;-0,000484884;-0,013201825;-0,001169299;-0,019479712;0,000784302;0,001722447
763,2000122;-0,000899899;-0,013525937;-0,000764154;-0,019794971;-0,00046849;0,000873572
762,7999878;-0,000406271;-0,013151148;-0,001777622;-0,019860951;-0,001069688;-0,000312849
762,4000244;0,000355171;-0,011959471;-0,000762449;-0,019849725;-0,000104153;0,001046509
762;-0,000415582;-0,013477506;-0,001350234;-0,021045921;3,48E-05;0,001114785
761,5999756;-0,000931723;-0,011514211;-0,001073819;-0,019612901;0,000484363;0,000225603
761,2000122;-0,000207608;-0,01243914;-0,000818416;-0,019781267;0,000610198;0,001390644
760,7999878;2,28E-05;-0,013638987;-0,001007865;-0,020084344;0,001462974;0,001485467
760,4000244;0,000269116;-0,012378512;-0,001777107;-0,020682162;0,000760263;0,001734064
760;0,000873364;-0,011182641;-0,000212782;-0,018313983;3,95E-05;0,001408329
759,5999756;1,76E-05;-0,012340572;-0,000959671;-0,021211023;4,96E-05;0,001351718
759,2000122;-0,000768599;-0,012166021;-0,001465724;-0,019627994;0,000428806;0,001765772
758,7999878;-0,001304865;-0,013991498;-0,002164617;-0,020671399;-0,000506138;0,001631027
758,4000244;-0,000575891;-0,013441066;-0,001331447;-0,021014946;0,000210167;0,002050914
758;-0,00074343;-0,013444681;-0,001118696;-0,020486733;-6,91E-05;0,001678216
757,5999756;-0,0001852;-0,012537435;-0,000522375;-0,019554751;0,000488588;0,00079841
757,2000122;-0,001309356;-0,013514846;-0,001984073;-0,021652564;0,000251736;0,000585106
756,7999878;-0,000129928;-0,012151422;-0,000647495;-0,020134415;0,000486955;0,001763303
756,4000244;-0,000562138;-0,013352415;-0,001397404;-0,020566585;0,001144164;0,002405138
756;-0,000122216;-0,012562584;-0,000984311;-0,020615712;0,000642784;0,002100983
755,5999756;-6,13E-05;-0,012187517;-0,001278333;-0,020054189;6,35E-05;0,001041631
755,2000122;8,71E-05;-0,012322305;-0,001392604;-0,02097494;0,000687402;0,001016358
754,7999878;-0,001022585;-0,013237783;-0,002045036;-0,020645285;-8,09E-05;0,001663664
754,4000244;0,00075251;-0,014024283;-0,001179625;-0,021280486;0,000583551;0,001505286
754;0,000372218;-0,011765015;-0,000242484;-0,019707952;0,001162099;0,001465363
753,5999756;0,00119618;-0,011468228;-0,000220906;-0,019621411;0,000771362;0,002364664
753,2000122;0,000846701;-0,012576365;-0,001057034;-0,019687073;0,001482999;0,002687392
752,7999878;0,000162335;-0,012947779;-0,001011015;-0,020665377;0,001006525;0,001607435
752,4000244;-0,000390651;-0,012420273;-0,000934771;-0,020798596;0,00128042;0,00185059
752;0,00011368;-0,013047567;-0,000995106;-0,020418279;0,000650017;0,001522145
