Wavelength (nm);emAF;emCE;emHA;emHP;emAT;emFA
680,42686;6222956;4434886;2472545;2307120,25;0,867010636;0,820056439
681,42838;6781217,5;4439161,5;2675710,25;2497792,25;0,917043729;0,878522788
682,4299;7104137;4690158,5;2779556,75;2573936;0,963067734;0,929346146
683,43142;7239742,5;4991427;2865580,25;2729937;0,988841188;0,969328556
684,43294;7394832,5;4921230;2936824,25;2737881,25;1;0,983648989
685,43446;7139330;4752449;3016598,5;2748197,25;0,992125866;1
686,43598;7074521,5;4579672;2910544,75;2704973,25;0,955394055;0,982854272
687,4375;6679297;4308830,5;2754365,25;2548223,5;0,910703126;0,953731692
688,43902;6217636,5;3992905;2615846;2384078,75;0,856048445;0,915394542
689,44054;5960666;3730327,5;2536841,25;2304010;0,796044479;0,866665936
690,44206;5262157;3302738;2157961,25;1998399;0,724008136;0,802645669
691,44358;4853199;3004751,75;2061539,125;1867575,125;0,656183435;0,74324565
692,4451;4296472;2817664,5;1895035;1738683,125;0,598938775;0,680812011
693,44662;3911275,75;2376189,25;1670798,75;1600378,5;0,534458997;0,631521781
694,44814;3587520,25;2311189;1484075,25;1379878,75;0,492987434;0,581234256
695,44966;3148100,5;2069859,625;1420590,625;1295139,5;0,444093718;0,537595573
696,45118;2996250,5;1751621,375;1293062;1200363,125;0,409804512;0,497031458
697,4527;2655562,5;1674844;1234453,625;1143464,375;0,377319144;0,461240467
698,45422;2510566,5;1565465,5;1102370,875;1007100,125;0,348419797;0,434128316
699,45574;2369697,75;1523732,375;1009714,875;978083,625;0,323414113;0,403808016
700,45726;2152337;1322034,875;864324,6875;864884,25;0,309600558;0,38551807
701,45878;2092517,5;1201707,375;933371,6875;843496,125;0,287291378;0,363202441
702,4603;1830022,375;1132198,625;862648,875;744425,3125;0,273890302;0,344123388
703,46182;1881016,875;1118080,375;859718,9375;778872,3125;0,260317023;0,324903468
704,46334;1692503,375;1125964,875;747977;721993,25;0,24700303;0,315565203
705,46486;1622553,375;999500;718790,1875;681028,75;0,237660768;0,300863489
706,46638;1547383,25;977864,9375;738414,125;585929,6875;0,227818739;0,292154205
707,4679;1461111,5;929554,375;652152,3125;617284,5;0,219629159;0,282376882
708,46942;1358146,125;926818,5;671435,3125;606208,75;0,210693533;0,276521678
709,47094;1474890,25;887366,25;616477,5625;582610,8125;0,205947666;0,273503981
710,47246;1357965,25;880705,375;607638,75;571719,8125;0,20015797;0,268239154
711,47398;1423808,875;853806,0625;615295;525346,625;0,20001516;0,26287668
712,4755;1309475,75;888582,1875;634263,25;595109,125;0,195588572;0,261457567
713,47702;1354002,75;829662,6875;673604,625;538099,0625;0,191102218;0,263082081
714,47854;1246075,375;849076,125;570785,6875;491787,8125;0,188742486;0,262291811
715,48006;1316907,625;806344,8125;574518,625;526877,4375;0,186986227;0,261365565
716,48158;1226240,5;846573,5;582994,75;505876,4375;0,185682201;0,26525587
717,4831;1312437,5;822593,875;619856,125;518865,9688;0,184799793;0,265013764
