Jasmijn,,Mads,,Eva,,Koen,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
729.2000122,-0.0004788851365,729.2000122,0.004654271528,729.2000122,0.004545674659,729.2000122,0.008777534589,
728.7999878,-0.0005415073829,728.7999878,0.004475811496,728.7999878,0.00444115838,728.7999878,0.008849229664,
728.4000244,-0.000465180492,728.4000244,0.00459100958,728.4000244,0.004400337115,728.4000244,0.008725923486,
728,-0.0005572778173,728,0.00456474442,728,0.004238161258,728,0.008737729862,
727.5999756,-0.0006176140159,727.5999756,0.004635276273,727.5999756,0.004220569506,727.5999756,0.008696317673,
727.2000122,-0.0005576397525,727.2000122,0.004575705621,727.2000122,0.004263962153,727.2000122,0.008669644594,
726.7999878,-0.0007064744132,726.7999878,0.004588262644,726.7999878,0.004176659044,726.7999878,0.008648254909,
726.4000244,-0.0006660009967,726.4000244,0.004584495444,726.4000244,0.00427585654,726.4000244,0.008793595247,
726,-0.0008912189514,726,0.004530032165,726,0.004174306523,726,0.008718185127,
725.5999756,-0.0007399151218,725.5999756,0.004647520836,725.5999756,0.004295751452,725.5999756,0.008742933162,
725.2000122,-0.0007862730417,725.2000122,0.004513893276,725.2000122,0.004294993356,725.2000122,0.008645403199,
724.7999878,-0.0008399117505,724.7999878,0.004467468243,724.7999878,0.00417537801,724.7999878,0.008657761849,
724.4000244,-0.0006360182306,724.4000244,0.004674340133,724.4000244,0.004189988598,724.4000244,0.008837975562,
724,-0.0007924226811,724,0.004406743683,724,0.004124023952,724,0.008513972163,
723.5999756,-0.000787720026,723.5999756,0.004474189598,723.5999756,0.004152797163,723.5999756,0.008721539751,
723.2000122,-0.0008019312518,723.2000122,0.004464303609,723.2000122,0.004174202215,723.2000122,0.008700649254,
722.7999878,-0.0008060653345,722.7999878,0.00447586365,722.7999878,0.004342184402,722.7999878,0.00881990511,
722.4000244,-0.0007600713288,722.4000244,0.00465453323,722.4000244,0.004291359335,722.4000244,0.008812693879,
722,-0.0005667398218,722,0.004703725688,722,0.004264066927,722,0.008672787808,
721.5999756,-0.0007248232141,721.5999756,0.004537827335,721.5999756,0.004195372574,721.5999756,0.008752045222,
721.2000122,-0.0008606316987,721.2000122,0.004492498003,721.2000122,0.004123030696,721.2000122,0.008518010378,
720.7999878,-0.0006799060502,720.7999878,0.00445789611,720.7999878,0.004325111397,720.7999878,0.008773889393,
720.4000244,-0.0006825423334,720.4000244,0.004592735786,720.4000244,0.004481879063,720.4000244,0.008756799623,
720,-0.0006386547466,720,0.004545099102,720,0.004268197343,720,0.008861461654,
719.5999756,-0.000739811745,719.5999756,0.004569374491,719.5999756,0.004294444341,719.5999756,0.008828306571,
719.2000122,-0.0009451546939,719.2000122,0.004449448548,719.2000122,0.00412412826,719.2000122,0.008630959317,
718.7999878,-0.0008905989816,718.7999878,0.004456405528,718.7999878,0.004024128895,718.7999878,0.008708228357,
718.4000244,-0.0006833176594,718.4000244,0.004568040371,718.4000244,0.004280248657,718.4000244,0.00893293228,
718,-0.0006954647833,718,0.004594619386,718,0.004405749962,718,0.008871183731,
717.5999756,-0.0007483395166,717.5999756,0.004393381532,717.5999756,0.004094964825,717.5999756,0.008719796315,
