Baseline 100%T,,Eva,,Koen,,Jasmijn,,Mads,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
741.5999756,0.3613677919,741.5999756,0.0008703293861,741.5999756,0.03135789186,741.5999756,-0.007510928437,741.5999756,0.004833171144,
741.2000122,0.3614562154,741.2000122,0.0008897054358,741.2000122,0.03115393408,741.2000122,-0.007756985724,741.2000122,0.005070806481,
740.7999878,0.3614191115,740.7999878,0.001027048449,740.7999878,0.03125598282,740.7999878,-0.007744780276,740.7999878,0.005403992254,
740.4000244,0.3611449897,740.4000244,0.001109049539,740.4000244,0.03162806481,740.4000244,-0.007528635673,740.4000244,0.00577971898,
740,0.3611293733,740,0.001176712103,740,0.03181932494,740,-0.007599356119,740,0.006006035954,
739.5999756,0.3610526323,739.5999756,0.001345693949,739.5999756,0.03196850419,739.5999756,-0.007489657961,739.5999756,0.006442470942,
739.2000122,0.3610210121,739.2000122,0.00154368009,739.2000122,0.03207442537,739.2000122,-0.007645496167,739.2000122,0.006850258913,
738.7999878,0.3609150946,738.7999878,0.00152759999,738.7999878,0.03213671967,738.7999878,-0.007599254604,738.7999878,0.007070056628,
738.4000244,0.3608479798,738.4000244,0.00167286268,738.4000244,0.03247873113,738.4000244,-0.007632880937,738.4000244,0.007430980448,
738,0.3606809676,738,0.00184406538,738,0.0328415595,738,-0.00753815053,738,0.007871565409,
737.5999756,0.360550642,737.5999756,0.001985533163,737.5999756,0.03294747323,737.5999756,-0.007473577745,737.5999756,0.008271042258,
737.2000122,0.3604302108,737.2000122,0.002085428452,737.2000122,0.03314562514,737.2000122,-0.007466453128,737.2000122,0.008637824096,
736.7999878,0.360470742,736.7999878,0.002334134653,736.7999878,0.0334152095,736.7999878,-0.007412252482,736.7999878,0.008828358725,
736.4000244,0.3600616753,736.4000244,0.002518485999,736.4000244,0.03365642577,736.4000244,-0.007262083702,736.4000244,0.009342538193,
736,0.3598266244,736,0.002664367203,736,0.03391865641,736,-0.00736557832,736,0.009976688772,
735.5999756,0.3597227037,735.5999756,0.002874968108,735.5999756,0.03420868888,735.5999756,-0.00734531926,735.5999756,0.01038720086,
735.2000122,0.3595064878,735.2000122,0.003202091902,735.2000122,0.03453405946,735.2000122,-0.007329335436,735.2000122,0.01078592055,
734.7999878,0.3593955338,734.7999878,0.003118912457,734.7999878,0.03456169739,734.7999878,-0.007349238731,734.7999878,0.01113765035,
734.4000244,0.3591631949,734.4000244,0.003443219466,734.4000244,0.0347805284,734.4000244,-0.007169411518,734.4000244,0.01158472523,
