Baseline 100%T;;Eva;;Koen;;Jasmijn;;Mads;
Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs
728,4000244;0,355622232;728,4000244;0,007307024;728,4000244;0,040156331;728,4000244;-0,006195514;728,4000244;0,020416219
728;0,355514258;728;0,007375528;728;0,040423058;728;-0,006106187;728;0,021013178
727,5999756;0,355208039;727,5999756;0,007723609;727,5999756;0,041096438;727,5999756;-0,005973082;727,5999756;0,021847041
727,2000122;0,355112612;727,2000122;0,008051348;727,2000122;0,041535351;727,2000122;-0,005921145;727,2000122;0,022623438
726,7999878;0,354875892;726,7999878;0,008496206;726,7999878;0,042017654;726,7999878;-0,005691112;726,7999878;0,023359073
726,4000244;0,354791999;726,4000244;0,008616542;726,4000244;0,042397905;726,4000244;-0,005789056;726,4000244;0,024075272
726;0,354522228;726;0,009101021;726;0,043165583;726;-0,0054925;726;0,02509083
725,5999756;0,354393303;725,5999756;0,009359042;725,5999756;0,043601871;725,5999756;-0,005576536;725,5999756;0,025902754
725,2000122;0,354148686;725,2000122;0,009780566;725,2000122;0,044087593;725,2000122;-0,005483759;725,2000122;0,026663292
724,7999878;0,354024708;724,7999878;0,010239922;724,7999878;0,044590607;724,7999878;-0,005347036;724,7999878;0,027499564
724,4000244;0,353785127;724,4000244;0,010780109;724,4000244;0,045361742;724,4000244;-0,005019115;724,4000244;0,028568067
724;0,353731722;724;0,011079438;724;0,045698974;724;-0,00507382;724;0,029655917
723,5999756;0,353622466;723,5999756;0,011421892;723,5999756;0,046361841;723,5999756;-0,005125908;723,5999756;0,030562488
723,2000122;0,35359782;723,2000122;0,011848164;723,2000122;0,047001868;723,2000122;-0,00497423;723,2000122;0,031406589
722,7999878;0,353349477;722,7999878;0,012253234;722,7999878;0,04773159;722,7999878;-0,004833507;722,7999878;0,032567173
722,4000244;0,353065252;722,4000244;0,012810836;722,4000244;0,048481639;722,4000244;-0,004471533;722,4000244;0,033701688
722;0,353134453;722;0,013004891;722;0,048965868;722;-0,004558328;722;0,034619194
721,5999756;0,353036702;721,5999756;0,013402257;721,5999756;0,04951762;721,5999756;-0,004476555;721,5999756;0,035736911
721,2000122;0,352771223;721,2000122;0,014117238;721,2000122;0,050452415;721,2000122;-0,00424191;721,2000122;0,03700652
720,7999878;0,352533013;720,7999878;0,014571435;720,7999878;0,051157847;720,7999878;-0,004015295;720,7999878;0,038259413
720,4000244;0,352428943;720,4000244;0,015001052;720,4000244;0,051919445;720,4000244;-0,003814273;720,4000244;0,039462153
720;0,352295071;720;0,015447028;720;0,052657045;720;-0,003738621;720;0,040669281
719,5999756;0,352189928;719,5999756;0,016092902;719,5999756;0,053398915;719,5999756;-0,00352833;719,5999756;0,042053871
719,2000122;0,352144599;719,2000122;0,016668532;719,2000122;0,054200646;719,2000122;-0,003390888;719,2000122;0,043401666
718,7999878;0,351912975;718,7999878;0,017381692;718,7999878;0,055187028;718,7999878;-0,003214244;718,7999878;0,044945326
718,4000244;0,351770282;718,4000244;0,017720014;718,4000244;0,056166198;718,4000244;-0,002938037;718,4000244;0,046289928
718;0,351755381;718;0,018245347;718;0,05693667;718;-0,002732297;718;0,047735084
717,5999756;0,351675987;717,5999756;0,01882527;717,5999756;0,057720747;717,5999756;-0,002785336;717,5999756;0,049270622
717,2000122;0,351427943;717,2000122;0,01946401;717,2000122;0,058692466;717,2000122;-0,002453569;717,2000122;0,050839487
716,7999878;0,351275057;716,7999878;0,020240765;716,7999878;0,059650868;716,7999878;-0,002134532;716,7999878;0,052383576
716,4000244;0,351219207;716,4000244;0,020873142;716,4000244;0,060545109;716,4000244;-0,001974796;716,4000244;0,054048318
716;0,351062417;716;0,021488247;716;0,061691068;716;-0,001796132;716;0,055648662
715,5999756;0,350790501;715,5999756;0,022318773;715,5999756;0,062962189;715,5999756;-0,001398075;715,5999756;0,057501454
715,2000122;0,35083282;715,2000122;0,022963904;715,2000122;0,063725367;715,2000122;-0,001225936;715,2000122;0,059110597
714,7999878;0,350779176;714,7999878;0,023605511;714,7999878;0,064825661;714,7999878;-0,001163051;714,7999878;0,06097953
714,4000244;0,350598425;714,4000244;0,024367454;714,4000244;0,06631995;714,4000244;-0,000894577;714,4000244;0,062962495
714;0,350438178;714;0,025309248;714;0,067317046;714;-0,000533338;714;0,065017112
713,5999756;0,350321025;713,5999756;0,026009075;713,5999756;0,068476342;713,5999756;-0,000370012;713,5999756;0,066993535
713,2000122;0,350137144;713,2000122;0,026838938;713,2000122;0,069800802;713,2000122;-5,38E-05;713,2000122;0,069011159
712,7999878;0,350148916;712,7999878;0,027618414;712,7999878;0,071094245;712,7999878;0,000193826;712,7999878;0,07115712
712,4000244;0,35009411;712,4000244;0,028360827;712,4000244;0,072167508;712,4000244;0,000481979;712,4000244;0,073157765
712;0,349974126;712;0,029329745;712;0,073590614;712;0,000697228;712;0,075448267
711,5999756;0,349837869;711,5999756;0,030305801;711,5999756;0,075059995;711,5999756;0,001046691;711,5999756;0,07794001
711,2000122;0,34968245;711,2000122;0,03140372;711,2000122;0,076637536;711,2000122;0,001418873;711,2000122;0,080446839
710,7999878;0,349765301;710,7999878;0,032114923;710,7999878;0,077957727;710,7999878;0,001650022;710,7999878;0,082762063
710,4000244;0,349619031;710,4000244;0,033122268;710,4000244;0,079440184;710,4000244;0,002052968;710,4000244;0,085303709
710;0,34946987;710;0,034152567;710;0,081101283;710;0,002498438;710;0,088000536
