Baseline 100%T;;Koen;;Mads;;Eva;;Jasmijn;;;;;;
Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;;;;;
736;0,360502541;736;-0,000189444;736;0,066450968;736;0,035361096;736;0,054727029;;364;0,704062522;;0,704456741
735,5999756;0,360444456;735,5999756;-6,95E-05;735,5999756;0,066523038;735,5999756;0,035447825;735,5999756;0,054871455;;364,3999939;0,709673762;;0,710067982
735,2000122;0,360268921;735,2000122;3,56E-05;735,2000122;0,066748716;735,2000122;0,035583705;735,2000122;0,054965191;;364,7999878;0,716535509;;0,716929728
734,7999878;0,360262394;734,7999878;6,08E-06;734,7999878;0,066774197;734,7999878;0,035362896;734,7999878;0,054786667;;365,1999817;0,722958028;;0,723352248
734,4000244;0,360212356;734,4000244;1,36E-05;734,4000244;0,066729456;734,4000244;0,035355594;734,4000244;0,054856475;;365,6000061;0,729574204;;0,729968423
734;0,360315859;734;-5,24E-05;734;0,066834487;734;0,035304207;734;0,054810278;;366;0,736509144;;0,736903364
733,5999756;0,360141218;733,5999756;4,53E-05;733,5999756;0,066957749;733,5999756;0,035393927;733,5999756;0,054943394;;366,3999939;0,743115425;;0,743509645
733,2000122;0,360153049;733,2000122;8,24E-05;733,2000122;0,067087784;733,2000122;0,035279837;733,2000122;0,054940015;;366,7999878;0,750150144;;0,750544364
732,7999878;0,360034585;732,7999878;0,00024293;732,7999878;0,067161202;732,7999878;0,035548866;732,7999878;0,055005442;;367,1999817;0,757138848;;0,757533068
732,4000244;0,359972745;732,4000244;0,000203952;732,4000244;0,067105822;732,4000244;0,035558753;732,4000244;0,054986726;;367,6000061;0,764390945;;0,764785165
732;0,359970689;732;0,000178909;732;0,067006074;732;0,03552625;732;0,05493458;;368;0,772116244;;0,772510463
731,5999756;0,360154957;731,5999756;-0,000107879;731,5999756;0,066872321;731,5999756;0,035337143;731,5999756;0,054628938;;368,3999939;0,7795403;;0,77993452
