Baseline 100%T;;Koen;;Mads;;Eva;;Jasmijn;;;;;;
Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;;;;;
683,5999756;0,353271455;683,5999756;0,114891946;683,5999756;0,296679497;683,5999756;0,122409158;683,5999756;0,074434869;;416,3999939;1,518563271;;1,518957491
683,2000122;0,353221804;683,2000122;0,123793051;683,2000122;0,314430893;683,2000122;0,129185408;683,2000122;0,07581266;;416,7999878;1,520273566;;1,520667786
682,7999878;0,353251338;682,7999878;0,133581653;682,7999878;0,333604991;682,7999878;0,136724398;682,7999878;0,077370696;;417,1999817;1,522994757;;1,523388977
682,4000244;0,353342265;682,4000244;0,144063041;682,4000244;0,354119122;682,4000244;0,144603714;682,4000244;0,078973278;;417,6000061;1,525338292;;1,525732512
682;0,353260398;682;0,155363426;682;0,376243621;682;0,153372407;682;0,080834664;;418;1,528698564;;1,529092784
681,5999756;0,353253961;681,5999756;0,167813107;681,5999756;0,400319487;681,5999756;0,162900344;681,5999756;0,082657434;;418,3999939;1,532079101;;1,532473321
681,2000122;0,353171676;681,2000122;0,180879757;681,2000122;0,425815135;681,2000122;0,172973469;681,2000122;0,08463303;;418,7999878;1,536997795;;1,537392015
680,7999878;0,353237778;680,7999878;0,194807813;680,7999878;0,452917606;680,7999878;0,183457196;680,7999878;0,086772613;;419,1999817;1,54246223;;1,54285645
680,4000244;0,353298158;680,4000244;0,209930971;680,4000244;0,482550681;680,4000244;0,194923416;680,4000244;0,089100629;;419,6000061;1,548365831;;1,548760051
680;0,353333265;680;0,226038635;680;0,514176726;680;0,207209349;680;0,091490664;;420;1,555728793;;1,556123013
679,5999756;0,353155434;679,5999756;0,243519619;679,5999756;0,547903955;679,5999756;0,220660776;679,5999756;0,094400831;;420,3999939;1,564041257;;1,564435477
679,2000122;0,353192687;679,2000122;0,261811048;679,2000122;0,583879769;679,2000122;0,234631881;679,2000122;0,09713009;;420,7999878;1,573229432;;1,573623652
678,7999878;0,353249133;678,7999878;0,281405419;678,7999878;0,622264326;678,7999878;0,249661833;678,7999878;0,099981956;;421,1999817;1,58347106;;1,58386528
678,4000244;0,35312143;678,4000244;0,302331597;678,4000244;0,66292274;678,4000244;0,265609533;678,4000244;0,103274696;;421,6000061;1,595575213;;1,595969433
678;0,353114367;678;0,324235529;678;0,705313921;678;0,282415777;678;0,106695771;;422;1,608282328;;1,608676548
677,5999756;0,353166521;677,5999756;0,347611249;677,5999756;0,751177609;677,5999756;0,300295085;677,5999756;0,110249698;;422,3999939;1,622062206;;1,622456426
677,2000122;0,35319835;677,2000122;0,372248918;677,2000122;0,799295425;677,2000122;0,319256723;677,2000122;0,113847114;;422,7999878;1,636593342;;1,636987562
676,7999878;0,353119105;676,7999878;0,398053438;676,7999878;0,849564493;676,7999878;0,339072377;676,7999878;0,117784023;;423,1999817;1,652875423;;1,653269643
676,4000244;0,353142768;676,4000244;0,425234675;676,4000244;0,902832866;676,4000244;0,359983504;676,4000244;0,121852592;;423,6000061;1,669540644;;1,669934864
676;0,353158891;676;0,453829974;676;0,958530128;676;0,381762415;676;0,126134694;;424;1,686525226;;1,686919446
675,5999756;0,353140831;675,5999756;0,483347893;675,5999756;1,015903711;675,5999756;0,404335022;675,5999756;0,130544037;;424,3999939;1,705216527;;1,705610747
675,2000122;0,353219211;675,2000122;0,513592362;675,2000122;1,075217843;675,2000122;0,427544683;675,2000122;0,135090843;;424,7999878;1,724489331;;1,724883551
674,7999878;0,353280306;674,7999878;0,545993626;674,7999878;1,13828969;674,7999878;0,45246172;674,7999878;0,139877185;;425,1999817;1,744008422;;1,744402642
674,4000244;0,353226751;674,4000244;0,57891196;674,4000244;1,202658415;674,4000244;0,477755934;674,4000244;0,14481388;;425,6000061;1,764020681;;1,764414901
674;0,353158534;674;0,612964869;674;1,269600987;674;0,503987014;674;0,149828047;;426;1,784100294;;1,784494514
673,5999756;0,353208512;673,5999756;0,648559213;673,5999756;1,339066505;673,5999756;0,531369448;673,5999756;0,154961139;;426,3999939;1,804415464;;1,804809684
673,2000122;0,353263497;673,2000122;0,68421042;673,2000122;1,409101009;673,2000122;0,55888325;673,2000122;0,160129502;;426,7999878;1,824397683;;1,824791903
672,7999878;0,353325635;672,7999878;0,720346689;672,7999878;1,480076194;672,7999878;0,586687982;672,7999878;0,165524632;;427,1999817;1,844697714;;1,845091934
672,4000244;0,353291929;672,4000244;0,757575333;672,4000244;1,552491665;672,4000244;0,615208566;672,4000244;0,170901328;;427,6000061;1,863681674;;1,864075894
672;0,353214383;672;0,79555583;672;1,627255082;672;0,644594789;672;0,17656678;;428;1,882063508;;1,882457728
671,5999756;0,3531349;671,5999756;0,833562613;671,5999756;1,701569915;671,5999756;0,673746288;671,5999756;0,182192028;;428,3999939;1,900605798;;1,901000018
671,2000122;0,353187352;671,2000122;0,871516466;671,2000122;1,776471257;671,2000122;0,703157365;671,2000122;0,187626615;;428,7999878;1,917712808;;1,918107028
670,7999878;0,353290349;670,7999878;0,909706235;670,7999878;1,852418303;670,7999878;0,73284173;670,7999878;0,193056017;;429,1999817;1,932146192;;1,932540412
670,4000244;0,353270948;670,4000244;0,947146773;670,4000244;1,925308466;670,4000244;0,761506975;670,4000244;0,198336601;;429,6000061;1,946357369;;1,946751589
670;0,353351563;670;0,984134436;670;1,998418808;670;0,79010129;670;0,203695625;;430;1,958814979;;1,959209199
669,5999756;0,353341252;669,5999756;1,020725727;669,5999756;2,070406675;669,5999756;0,818490148;669,5999756;0,209042922;;430,3999939;1,968709946;;1,969104166
669,2000122;0,353268594;669,2000122;1,056479573;669,2000122;2,140438795;669,2000122;0,846237481;669,2000122;0,214100182;;430,7999878;1,977105141;;1,977499361
668,7999878;0,353280962;668,7999878;1,090969682;668,7999878;2,20868969;668,7999878;0,873273015;668,7999878;0,218927175;;431,1999817;1,983255386;;1,983649606
668,4000244;0,353167117;668,4000244;1,124196768;668,4000244;2,274262428;668,4000244;0,89905107;668,4000244;0,223636031;;431,6000061;1,986807942;;1,987202162
668;0,353248864;668;1,15626502;668;2,337150812;668;0,923862934;668;0,228129819;;432;1,987300873;;1,987695093
667,5999756;0,353268117;667,5999756;1,185694933;667,5999756;2,393915653;667,5999756;0,946750939;667,5999756;0,23217009;;432,3999939;1,984792948;;1,985187168
667,2000122;0,353166372;667,2000122;1,212983251;667,2000122;2,448134899;667,2000122;0,968459249;667,2000122;0,23612915;;432,7999878;1,979829669;;1,980223889
666,7999878;0,353108257;666,7999878;1,238641262;666,7999878;2,498874426;666,7999878;0,988662899;666,7999878;0,23983486;;433,1999817;1,971167564;;1,971561784
666,4000244;0,353025287;666,4000244;1,261473894;666,4000244;2,544095993;666,4000244;1,006737947;666,4000244;0,243125111;;433,6000061;1,960484028;;1,960878248
666;0,353034496;666;1,282068253;666;2,583441973;666;1,023059726;666;0,245769292;;434;1,946349382;;1,946743602
665,5999756;0,353037894;665,5999756;1,299914837;665,5999756;2,619664669;665,5999756;1,037312508;665,5999756;0,248277158;;434,3999939;1,928427696;;1,928821916
665,2000122;0,352940857;665,2000122;1,314881921;665,2000122;2,649522305;665,2000122;1,049417853;665,2000122;0,250630647;;434,7999878;1,907689691;;1,908083911
664,7999878;0,352993161;664,7999878;1,326459646;664,7999878;2,672778845;664,7999878;1,058885098;664,7999878;0,252035976;;435,1999817;1,884551525;;1,884945745
664,4000244;0,353052795;664,4000244;1,334897041;664,4000244;2,690797329;664,4000244;1,066260338;664,4000244;0,253162086;;435,6000061;1,857991099;;1,858385319
664;0,352869749;664;1,340814233;664;2,702223778;664;1,071361899;664;0,254231542;;436;1,828793526;;1,829187746
663,5999756;0,352784485;663,5999756;1,343286753;663,5999756;2,709568739;663,5999756;1,074056864;663,5999756;0,254674286;;436,3999939;1,797465324;;1,797859544
663,2000122;0,352726698;663,2000122;1,342730641;663,2000122;2,709043741;663,2000122;1,074201107;663,2000122;0,25467518;;436,7999878;1,764298081;;1,764692301
662,7999878;0,35272038;662,7999878;1,338901997;662,7999878;2,704423189;662,7999878;1,071997523;662,7999878;0,254291654;;437,1999817;1,728907108;;1,729301328
662,4000244;0,352538765;662,4000244;1,332024097;662,4000244;2,694241047;662,4000244;1,06752634;662,4000244;0,253709167;;437,6000061;1,692695498;;1,693089718
662;0,352589369;662;1,322148204;662;2,676676989;662;1,060773253;662;0,25238958;;438;1,653959751;;1,654353971
661,5999756;0,352584273;661,5999756;1,309493065;661,5999756;2,655334711;661,5999756;1,05170989;661,5999756;0,250702828;;438,3999939;1,615166545;;1,615560765
661,2000122;0,35231787;661,2000122;1,293909192;661,2000122;2,626717567;661,2000122;1,040702105;661,2000122;0,249055237;;438,7999878;1,574863911;;1,575258131
660,7999878;0,352257043;660,7999878;1,276122808;660,7999878;2,596760988;660,7999878;1,027377844;660,7999878;0,247005209;;439,1999817;1,534741521;;1,535135741
660,4000244;0,352123112;660,4000244;1,255755901;660,4000244;2,558348656;660,4000244;1,012430906;660,4000244;0,244526893;;439,6000061;1,494868875;;1,495263095
660;0,351932615;660;1,233002663;660;2,51677537;660;0,995535791;660;0,241736099;;440;1,454774857;;1,455169077
659,5999756;0,351982236;659,5999756;1,208320022;659,5999756;2,470739126;659,5999756;0,97718519;659,5999756;0,238684982;;440,3999939;1,41577363;;1,41616785
659,2000122;0,351968318;659,2000122;1,182187676;659,2000122;2,420967102;659,2000122;0,957462072;659,2000122;0,235335678;;440,7999878;1,376428246;;1,376822466
658,7999878;0,351844192;658,7999878;1,154474497;658,7999878;2,369560242;658,7999878;0,936727703;658,7999878;0,232037783;;441,1999817;1,338817954;;1,339212174
658,4000244;0,351716161;658,4000244;1,12499404;658,4000244;2,313613415;658,4000244;0,914480031;658,4000244;0,228482992;;441,6000061;1,301400065;;1,301794285
658;0,351512432;658;1,094531894;658;2,256175518;658;0,891631723;658;0,224918023;;442;1,265648603;;1,266042823
657,5999756;0,351429641;657,5999756;1,063571095;657,5999756;2,197048187;657,5999756;0,868100882;657,5999756;0,220967993;;442,3999939;1,231832623;;1,232226843
657,2000122;0,351328522;657,2000122;1,031299233;657,2000122;2,135565996;657,2000122;0,843681335;657,2000122;0,217229694;;442,7999878;1,199077129;;1,199471349
656,7999878;0,351169288;656,7999878;0,999380827;656,7999878;2,074231625;656,7999878;0,819429696;656,7999878;0,213507012;;443,1999817;1,167800903;;1,168195123
656,4000244;0,351030231;656,4000244;0,967354238;656,4000244;2,012739658;656,4000244;0,794938088;656,4000244;0,20964621;;443,6000061;1,138181567;;1,138575787
656;0,350992173;656;0,934625864;656;1,949959993;656;0,770024002;656;0,205761686;;444;1,109967232;;1,110361452
655,5999756;0,350862682;655,5999756;0,902135432;655,5999756;1,88713479;655,5999756;0,745470583;655,5999756;0,202096283;;444,3999939;1,083486557;;1,083880777
655,2000122;0,350735009;655,2000122;0,870109081;655,2000122;1,825234056;655,2000122;0,72089082;655,2000122;0,198402852;;444,7999878;1,059084177;;1,059478397
654,7999878;0,35062927;654,7999878;0,838780105;654,7999878;1,76411593;654,7999878;0,696637273;654,7999878;0,194727525;;445,1999817;1,036456227;;1,036850447
654,4000244;0,350408644;654,4000244;0,807423651;654,4000244;1,704059005;654,4000244;0,673216045;654,4000244;0,191280693;;445,6000061;1,015188694;;1,015582914
654;0,35022381;654;0,777789176;654;1,646230817;654;0,650318682;654;0,187834486;;446;0,995150566;;0,995544786
653,5999756;0,35003534;653,5999756;0,74902004;653,5999756;1,589905143;653,5999756;0,628009677;653,5999756;0,184646949;;446,3999939;0,976737857;;0,977132077
653,2000122;0,349994272;653,2000122;0,720336556;653,2000122;1,534499645;653,2000122;0,605903268;653,2000122;0,181534752;;446,7999878;0,959686875;;0,960081095
652,7999878;0,34998396;652,7999878;0,693045735;652,7999878;1,48114419;652,7999878;0,58509022;652,7999878;0,178322837;;447,1999817;0,94420588;;0,9446001
652,4000244;0,349691242;652,4000244;0,666758299;652,4000244;1,430009127;652,4000244;0,564844132;652,4000244;0,175427124;;447,6000061;0,929913938;;0,930308158
652;0,349649549;652;0,641196489;652;1,380063534;652;0,544978142;652;0,172566712;;448;0,917125046;;0,917519266
651,5999756;0,349534839;651,5999756;0,616838157;651,5999756;1,332597613;651,5999756;0,526162088;651,5999756;0,169765979;;448,3999939;0,905618429;;0,906012649
651,2000122;0,349431336;651,2000122;0,594006419;651,2000122;1,287646174;651,2000122;0,508550286;651,2000122;0,167279214;;448,7999878;0,894702971;;0,895097191
650,7999878;0,34928155;650,7999878;0,572210193;650,7999878;1,244711518;650,7999878;0,491689891;650,7999878;0,164985254;;449,1999817;0,884858191;;0,885252411
650,4000244;0,34911859;650,4000244;0,551178634;650,4000244;1,203267932;650,4000244;0,475297332;650,4000244;0,162654638;;449,6000061;0,875765383;;0,876159603
650;0,349024385;650;0,531441987;650;1,164453387;650;0,460027099;650;0,16032365;;450;0,86771059;;0,86810481
649,5999756;0,348955452;649,5999756;0,51226157;649,5999756;1,126616359;649,5999756;0,445020467;649,5999756;0,15823482;;450,3999939;0,860334575;;0,860728795
649,2000122;0,348839223;649,2000122;0,493837118;649,2000122;1,09054637;649,2000122;0,430845112;649,2000122;0,156009182;;450,7999878;0,853723764;;0,854117984
648,7999878;0,348775774;648,7999878;0,476935238;648,7999878;1,056912184;648,7999878;0,417765558;648,7999878;0,154105261;;451,1999817;0,847613096;;0,848007316
648,4000244;0,348640412;648,4000244;0,460865915;648,4000244;1,025350094;648,4000244;0,405286521;648,4000244;0,152247503;;451,6000061;0,84178561;;0,842179829
648;0,348560721;648;0,445682615;648;0,995089829;648;0,393286318;648;0,150346533;;452;0,836375475;;0,836769695
647,5999756;0,34852916;647,5999756;0,430977434;647,5999756;0,965955794;647,5999756;0,381810397;647,5999756;0,148501679;;452,3999939;0,831478477;;0,831872696
647,2000122;0,348250479;647,2000122;0,417410076;647,2000122;0,938579917;647,2000122;0,371311724;647,2000122;0,146955013;;452,7999878;0,826678932;;0,827073151
646,7999878;0,3481884;646,7999878;0,404035211;646,7999878;0,912220299;646,7999878;0,361015648;646,7999878;0,144969776;;453,1999817;0,822363377;;0,822757596
646,4000244;0,348210603;646,4000244;0,391466141;646,4000244;0,886953533;646,4000244;0,35112232;646,4000244;0,143220216;;453,6000061;0,818068504;;0,818462724
646;0,348051041;646;0,380055308;646;0,863602281;646;0,342098564;646;0,14158307;;454;0,81357187;;0,81396609
645,5999756;0,34791854;645,5999756;0,369038969;645,5999756;0,841395855;645,5999756;0,33341834;645,5999756;0,139992654;;454,3999939;0,809457481;;0,809851701
645,2000122;0,347898483;645,2000122;0,358330131;645,2000122;0,81970036;645,2000122;0,324863434;645,2000122;0,138250694;;454,7999878;0,805370629;;0,805764848
644,7999878;0,347831756;644,7999878;0,348313153;644,7999878;0,799199104;644,7999878;0,316898972;644,7999878;0,136642307;;455,1999817;0,801245689;;0,801639909
644,4000244;0,347714543;644,4000244;0,338754773;644,4000244;0,779713631;644,4000244;0,309258819;644,4000244;0,13503775;;455,6000061;0,797181964;;0,797576184
644;0,34762311;644;0,32956323;644;0,761024118;644;0,30197072;644;0,133405611;;456;0,792962968;;0,793357188
643,5999756;0,347550482;643,5999756;0,320806384;643,5999756;0,743093729;643,5999756;0,294993192;643,5999756;0,131870702;;456,3999939;0,788356721;;0,788750941
643,2000122;0,347504884;643,2000122;0,312914521;643,2000122;0,726218164;643,2000122;0,288552672;643,2000122;0,130328581;;456,7999878;0,783980966;;0,784375185
642,7999878;0,347398102;642,7999878;0,305190146;642,7999878;0,710321605;642,7999878;0,282339811;642,7999878;0,128696337;;457,1999817;0,779519498;;0,779913718
642,4000244;0,347313762;642,4000244;0,297735274;642,4000244;0,694805265;642,4000244;0,276450992;642,4000244;0,127053171;;457,6000061;0,774965167;;0,775359387
642;0,347189993;642;0,290785372;642;0,680331588;642;0,270814776;642;0,125653356;;458;0,770129681;;0,7705239
641,5999756;0,347008437;641,5999756;0,28423515;641,5999756;0,666533351;641,5999756;0,265322566;641,5999756;0,124346286;;458,3999939;0,76524967;;0,765643889
641,2000122;0,347066164;641,2000122;0,277840138;641,2000122;0,653101444;641,2000122;0,260047019;641,2000122;0,122658968;;458,7999878;0,760154069;;0,760548288
640,7999878;0,346969932;640,7999878;0,271987259;640,7999878;0,640487611;640,7999878;0,254989326;640,7999878;0,121233739;;459,1999817;0,755047977;;0,755442197
640,4000244;0,3469522;640,4000244;0,266416192;640,4000244;0,628901601;640,4000244;0,250643253;640,4000244;0,119811803;;459,6000061;0,749812484;;0,750206703
640;0,346917808;640;0,261345834;640;0,617980599;640;0,246261999;640;0,118264049;;460;0,744766593;;0,745160813
639,5999756;0,346929103;639,5999756;0,256455123;639,5999756;0,607325316;639,5999756;0,242214382;639,5999756;0,116914466;;460,3999939;0,739372134;;0,739766354
639,2000122;0,346867144;639,2000122;0,251985908;639,2000122;0,597640395;639,2000122;0,238425747;639,2000122;0,11578811;;460,7999878;0,733870149;;0,734264368
638,7999878;0,346817702;638,7999878;0,247811288;638,7999878;0,58859092;638,7999878;0,234934971;638,7999878;0,114472807;;461,1999817;0,728520334;;0,728914553
638,4000244;0,346732229;638,4000244;0,244103164;638,4000244;0,579970121;638,4000244;0,231757984;638,4000244;0,113348015;;461,6000061;0,72331667;;0,723710889
638;0,346773088;638;0,240520164;638;0,572253406;638;0,228880242;638;0,112181552;;462;0,718044102;;0,718438322
637,5999756;0,346769184;637,5999756;0,237387255;637,5999756;0,565308809;637,5999756;0,226120234;637,5999756;0,111087307;;462,3999939;0,712796331;;0,71319055
637,2000122;0,346757501;637,2000122;0,234712303;637,2000122;0,558994412;637,2000122;0,223595828;637,2000122;0,109886088;;462,7999878;0,707969189;;0,708363408
636,7999878;0,346684903;636,7999878;0,232255101;636,7999878;0,55315727;636,7999878;0,22146605;636,7999878;0,108991861;;463,1999817;0,702878058;;0,703272278
636,4000244;0,346736431;636,4000244;0,230050474;636,4000244;0,548105538;636,4000244;0,219444379;636,4000244;0,108138479;;463,6000061;0,698038697;;0,698432917
636;0,346665591;636;0,228211507;636;0,543676317;636;0,217692673;636;0,107240222;;464;0,693217695;;0,693611914
635,5999756;0,346651316;635,5999756;0,226819173;635,5999756;0,539897502;635,5999756;0,216283217;635,5999756;0,106529862;;464,3999939;0,688755214;;0,689149434
635,2000122;0,346726358;635,2000122;0,225430206;635,2000122;0,536609054;635,2000122;0,214982167;635,2000122;0,105781563;;464,7999878;0,684276342;;0,684670562
634,7999878;0,346639603;634,7999878;0,224615589;634,7999878;0,534094095;634,7999878;0,214085192;634,7999878;0,105234608;;465,1999817;0,680065811;;0,68046003
634,4000244;0,346645266;634,4000244;0,223956078;634,4000244;0,532159209;634,4000244;0,213359594;634,4000244;0,104595728;;465,6000061;0,676376939;;0,676771158
634;0,346800774;634;0,223433688;634;0,530517459;634;0,212709382;634;0,104036816;;466;0,672539115;;0,672933335
633,5999756;0,346937805;633,5999756;0,223235577;633,5999756;0,529548168;633,5999756;0,212433353;633,5999756;0,103445865;;466,3999939;0,668874025;;0,669268245
633,2000122;0,346740037;633,2000122;0,223491326;633,2000122;0,529161632;633,2000122;0,212354958;633,2000122;0,103246592;;466,7999878;0,665528059;;0,665922279
632,7999878;0,346760213;632,7999878;0,223806232;632,7999878;0,52937907;632,7999878;0,212480336;632,7999878;0,102834992;;467,1999817;0,662408769;;0,662802989
632,4000244;0,346835613;632,4000244;0,224412218;632,4000244;0,530127704;632,4000244;0,212795898;632,4000244;0,102663145;;467,6000061;0,659343302;;0,659737522
632;0,346837193;632;0,225340381;632;0,531135082;632;0,213162184;632;0,102500312;;468;0,656525254;;0,656919474
631,5999756;0,346954793;631,5999756;0,226113007;631,5999756;0,532488048;631,5999756;0,213638529;631,5999756;0,102147974;;468,3999939;0,653512657;;0,653906876
631,2000122;0,347052902;631,2000122;0,227383152;631,2000122;0,534427643;631,2000122;0,214453489;631,2000122;0,102007896;;468,7999878;0,651008546;;0,651402766
630,7999878;0,347065508;630,7999878;0,228928208;630,7999878;0,536765337;630,7999878;0,215430856;630,7999878;0,102092631;;469,1999817;0,648411751;;0,64880597
630,4000244;0,347023726;630,4000244;0,2303987;630,4000244;0,539440751;630,4000244;0,216544941;630,4000244;0,102025047;;469,6000061;0,645815373;;0,646209592
630;0,347154796;630;0,232018262;630;0,542381346;630;0,217595846;630;0,101849593;;470;0,643628836;;0,644023055
629,5999756;0,34740752;629,5999756;0,233534187;629,5999756;0,545386612;629,5999756;0,2187742;629,5999756;0,101703979;;470,3999939;0,641343474;;0,641737694
629,2000122;0,347327203;629,2000122;0,235736221;629,2000122;0,548967183;629,2000122;0,220309302;629,2000122;0,101928249;;470,7999878;0,638609409;;0,639003629
628,7999878;0,347456247;628,7999878;0,237679973;628,7999878;0,55256027;628,7999878;0,221655875;628,7999878;0,101910539;;471,1999817;0,636097372;;0,636491591
628,4000244;0,347510248;628,4000244;0,239804685;628,4000244;0,556528151;628,4000244;0,22328423;628,4000244;0,102080025;;471,6000061;0,633397043;;0,633791262
628;0,347639591;628;0,241909429;628;0,560446978;628;0,224901289;628;0,102214336;;472;0,630778492;;0,631172711
627,5999756;0,347636104;627,5999756;0,244268134;627,5999756;0,564930081;627,5999756;0,226524919;627,5999756;0,102397405;;472,3999939;0,628258109;;0,628652329
627,2000122;0,347804517;627,2000122;0,246315166;627,2000122;0,569280863;627,2000122;0,228320494;627,2000122;0,102531061;;472,7999878;0,625524044;;0,625918264
626,7999878;0,347859293;626,7999878;0,248733968;626,7999878;0,573448241;626,7999878;0,229952142;626,7999878;0,102716826;;473,1999817;0,62235409;;0,62274831
626,4000244;0,347870112;626,4000244;0,251178503;626,4000244;0,577887714;626,4000244;0,231649861;626,4000244;0,103021577;;473,6000061;0,619254291;;0,619648511
626;0,348006219;626;0,253367484;626;0,582210004;626;0,233403519;626;0,103169307;;474;0,615836501;;0,616230721
625,5999756;0,34816888;625,5999756;0,255524546;625,5999756;0,586548567;625,5999756;0,235148758;625,5999756;0,103374727;;474,3999939;0,612413764;;0,612807984
625,2000122;0,348187804;625,2000122;0,257742643;625,2000122;0,5910483;625,2000122;0,236903533;625,2000122;0,103759743;;474,7999878;0,608877361;;0,60927158
624,7999878;0,348220587;624,7999878;0,260150343;624,7999878;0,595473051;624,7999878;0,238517374;624,7999878;0,103936367;;475,1999817;0,604940951;;0,605335171
624,4000244;0,348417938;624,4000244;0,262141049;624,4000244;0,599449873;624,4000244;0,240124896;624,4000244;0,104074776;;475,6000061;0,600615799;;0,601010019
624;0,348564178;624;0,264068782;624;0,603402257;624;0,241662085;624;0,104355104;;476;0,59612155;;0,596515769
623,5999756;0,348584324;623,5999756;0,266092479;623,5999756;0,60723412;623,5999756;0,243120983;623,5999756;0,104668289;;476,3999939;0,591771007;;0,592165226
623,2000122;0,348742217;623,2000122;0,267869294;623,2000122;0,610809743;623,2000122;0,244635865;623,2000122;0,104731835;;476,7999878;0,586929083;;0,587323303
622,7999878;0,348849744;622,7999878;0,269551694;622,7999878;0,614297092;622,7999878;0,24584128;622,7999878;0,105050735;;477,1999817;0,58205384;;0,58244806
622,4000244;0,348959327;622,4000244;0,27122575;622,4000244;0,617475569;622,4000244;0,247149229;622,4000244;0,105191208;;477,6000061;0,576919735;;0,577313954
622;0,348988146;622;0,272800595;622;0,62065053;622;0,248525038;622;0,105454169;;478;0,571359217;;0,571753437
621,5999756;0,349067479;621,5999756;0,274163395;621,5999756;0,623553336;621,5999756;0,249774545;621,5999756;0,105760589;;478,3999939;0,565814614;;0,566208834
621,2000122;0,349224001;621,2000122;0,27528432;621,2000122;0,626004875;621,2000122;0,250493318;621,2000122;0,105970211;;478,7999878;0,560023367;;0,560417587
620,7999878;0,349374414;620,7999878;0,276412547;620,7999878;0,628217638;620,7999878;0,251395494;620,7999878;0,106034406;;479,1999817;0,5537799;;0,55417412
620,4000244;0,349499643;620,4000244;0,277308226;620,4000244;0,630238354;620,4000244;0,252187699;620,4000244;0,106095679;;479,6000061;0,54803139;;0,548425609
620;0,349728644;620;0,278149873;620;0,631935358;620;0,252971977;620;0,10626208;;480;0,541418791;;0,54181301
619,5999756;0,34976247;619,5999756;0,278966516;619,5999756;0,633474171;619,5999756;0,253417611;619,5999756;0,106331676;;480,3999939;0,535110116;;0,535504336
619,2000122;0,349910587;619,2000122;0,279552817;619,2000122;0,634795129;619,2000122;0,253943533;619,2000122;0,10634087;;480,7999878;0,528433859;;0,528828079
618,7999878;0,35005188;618,7999878;0,27987656;618,7999878;0,635815322;618,7999878;0,254336476;618,7999878;0,10647773;;481,1999817;0,521374822;;0,521769041
618,4000244;0,350027055;618,4000244;0,280239791;618,4000244;0,636630237;618,4000244;0,254553884;618,4000244;0,106606491;;481,6000061;0,514679551;;0,515073771
618;0,350186318;618;0,280252874;618;0,637188137;618;0,254687697;618;0,106533803;;482;0,507488728;;0,507882947
617,5999756;0,350282788;617,5999756;0,280445278;617,5999756;0,63735199;617,5999756;0,254893661;617,5999756;0,1066228;;482,3999939;0,500395954;;0,500790173
617,2000122;0,350402445;617,2000122;0,280245751;617,2000122;0,637314439;617,2000122;0,254869074;617,2000122;0,106574692;;482,7999878;0,493011326;;0,493405545
616,7999878;0,350477755;616,7999878;0,280051261;616,7999878;0,637049198;616,7999878;0,254795581;616,7999878;0,106572539;;483,1999817;0,485688984;;0,486083204
616,4000244;0,350538731;616,4000244;0,279840559;616,4000244;0,636638284;616,4000244;0,254571557;616,4000244;0,106601395;;483,6000061;0,478067011;;0,47846123
616;0,350682259;616;0,27929917;616;0,635948896;616;0,254166752;616;0,106569;;484;0,470485419;;0,470879639
615,5999756;0,350744933;615,5999756;0,278792054;615,5999756;0,63489604;615,5999756;0,253960133;615,5999756;0,106393717;;484,3999939;0,462790966;;0,463185186
615,2000122;0,350793004;615,2000122;0,278064787;615,2000122;0,633599162;615,2000122;0,253327608;615,2000122;0,106353574;;484,7999878;0,455181003;;0,455575222
614,7999878;0,350976735;614,7999878;0,277092904;614,7999878;0,631868959;614,7999878;0,252608746;614,7999878;0,106225118;;485,1999817;0,447327465;;0,447721684
614,4000244;0,350990564;614,4000244;0,276245326;614,4000244;0,630228043;614,4000244;0,252025664;614,4000244;0,106143899;;485,6000061;0,439241678;;0,439635897
614;0,350942731;614;0,275234222;614;0,628229737;614;0,251267314;614;0,106137022;;486;0,43139112;;0,43178534
613,5999756;0,350956053;613,5999756;0,274074316;613,5999756;0,626094222;613,5999756;0,250389844;613,5999756;0,106005162;;486,3999939;0,423586309;;0,423980529
613,2000122;0,351120919;613,2000122;0,272634894;613,2000122;0,623485982;613,2000122;0,249311477;613,2000122;0,105685927;;486,7999878;0,415538102;;0,415932322
612,7999878;0,351229727;612,7999878;0,270995408;612,7999878;0,620620072;612,7999878;0,248002186;612,7999878;0,105472684;;487,1999817;0,407368302;;0,407762522
612,4000244;0,351144463;612,4000244;0,269438744;612,4000244;0,617633879;612,4000244;0,246860355;612,4000244;0,105336838;;487,6000061;0,399462163;;0,399856383
612;0,351271421;612;0,267682642;612;0,614185453;612;0,245627493;612;0,104984008;;488;0,391406566;;0,391800786
611,5999756;0,351212293;611,5999756;0,26597625;611,5999756;0,610686779;611,5999756;0,244343698;611,5999756;0,104847588;;488,3999939;0,38326475;;0,38365897
611,2000122;0,351105571;611,2000122;0,263904423;611,2000122;0,606828392;611,2000122;0,242922127;611,2000122;0,104685776;;488,7999878;0,375348181;;0,3757424
610,7999878;0,351096183;610,7999878;0,261798352;610,7999878;0,602935851;610,7999878;0,241225272;610,7999878;0,104405202;;489,1999817;0,367175698;;0,367569918
610,4000244;0,35118112;610,4000244;0,259530932;610,4000244;0,59847492;610,4000244;0,239484161;610,4000244;0,104076617;;489,6000061;0,359104365;;0,359498585
